year,scenario,retail_ai_adoption_pct,method_note
2025,Conservative,9.2,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2025,Base,9.2,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2025,Accelerated,9.2,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2026,Conservative,10.415,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2026,Base,11.36,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2026,Accelerated,12.44,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2027,Conservative,11.629999999999999,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2027,Base,13.52,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2027,Accelerated,15.68,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2028,Conservative,12.844999999999999,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2028,Base,15.68,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2028,Accelerated,18.919999999999998,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2029,Conservative,14.059999999999999,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2029,Base,17.839999999999996,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2029,Accelerated,22.159999999999997,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2030,Conservative,15.274999999999999,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2030,Base,20.0,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
2030,Accelerated,25.399999999999995,Transparent scenario extrapolation from two ABS observations; not a validated forecast.
